Reviewer,Comment,Date
harley_quinn25,"Performance:superb!
Quality:original obviously

Love love love. The item was great. Perfect  and secured packaging. Delivery was expected. Item is of first-rate quality. The description matched the item perfectly. No surprises! Expected for Apple. Everything are perfect. Good experience buying online.",2024-02-01 14:18:50
amhnhz,"Performance:GOOD
Quality:GOOD

Beli masa sale CNY, berbaloi. Placed order 13/2/24, delivered on 15/2/24. Sampai dlm keadaaan tiada berkotak, cuma bubble wrap tebal. Color yang cantik ! Thank you switch",2024-02-20 11:29:24
noorizzahatira,"Performance:good
Quality:nice product quality

Order 1/1 on sale
Received 5/1 
From iPhone X tukar ke iPhone 14 so far guna so good..self reward on 2024..thank you!",2024-01-06 16:13:08
basic.hijabs,"Quality:tiptop and beautiful
Performance:good and fast

Thank you so much switch ❤️ The iphone arrived safely and the bubble wrap was thick to protect the Iphone 🥰 I like it so much",2023-12-17 21:07:09
a*****8,"Performance:Excellent
Quality:Pristine

Seller ship the product the next day when i ordered. The box are wrapped in bubble wrap within a secure box. The iPhone is working well and good. The midnights colour is pretty too. Overall very satisfied!",2022-11-06 12:19:29
s*****n,"Performance:So far it’s good
Quality:Good as like how it was advertised

Sangattt suka yaa upgrade from ip7 to ip7+7 ! So memang nampak lah beza on it’s functionality. Beli masa payday so dapat murah sikit hehe. Thank you Switch! Totally loving this, starlight memang superior color. Btw, this is the timeline > Paid on 25th, then contacted seller to purchase SPP (smart protection plan) separately. 27th settle untuk subscribe SPP & then Switch terus shipped out. Sampai on 29th. Requested double wrapping and seller buat triple terus! Thanks Switch. Overall experience, very satisfied with the purchased tu yang review panjang panjangggg <3",2023-02-01 23:47:49
n*****y,"Quality:good
Performance:nice

Order time 9/9, ship time 12/9, received at 14/9. Really love this colour. Upgrade from ip11 to ip14. I buy this phone at price RM3773.90 only. Worth the price for 256GB. My bear loves it too 🫶🏻😂 Use this phone almost 1 month & its working well.",2023-10-04 23:48:43
s*****i,Been using it for a month. So great! Upgraded from my xr. The blue is so pretty. Customer service is amazing. I suggested you guys to request for extra wrapping or box if you need one. Seller did fulfil my request by using box. DHL is good as usual. ZP/A set. Thanks!,2022-12-12 11:33:11
naa_aina,Order time 9/9 bnyak discoun kaw2 . Sampai 14/9 fon sampai dlm keadaan baik fon pun ori seller pun baik . First time order brang mahal2 dkt online . Tapi rider just letak depan pintu je nasib baik sy ada dkt rumah klau tgh keje ke apa susah jgak,2023-09-14 17:40:04
ainnfatinn,sampai waktu 29/7 hari tu.so far dh pakai 4 hari ni ok phone pun cantikkk gila warna purple💜dia balut pun secure gila😊finally changing my phone from iphone 6s to iphone 14 is such a huge different ☺️,2023-08-01 17:45:41
